ID,coords,att_12,att_12_m_I,att_12_g_C,sect1,sect2,sect3,sect4,maximo,maximo_2,maximo_3,ratio32,area1,area12,area2,area3,kurt_1,kurt_2,middle_maximo,mean,var,skew,kurt,geo_mean,har_mean,entr,att_12_prof,porosity,l_n_voids,l_RVB
03563,"['96', '101', '11', '16']",13.818058596377375,0.6762866439083115,0.23540783935802703,11.692344577274884,17.311616772305964,19.338559924634538,16.49079853083829,75.84,15.600999999999999,12.64,0.8091251694451299,263.8933333333333,117.77333333333333,86.56333333333332,116.45666666666666,1.9490327676193244,3.7238074634806693,10.44,4.913600000000001,9.4032,0.2010685449106224,-0.8381752919149815,2.4058804845757256,0.7272044302985217,3.001290970955056,13.858525231246547,0.7549128205128205,20,0.5059869934605004
03564,"['96', '101', '12', '17']",14.182401415725842,0.6693403084968655,0.22721623711751257,11.260766216895773,16.793445470855623,16.292103486376888,16.11383737969613,74.68,14.761,12.0,0.8124601249243724,269.08,120.90666666666667,81.93333333333332,109.39666666666665,1.9091835676113882,3.87840245572521,10.96,5.048,11.228666666666665,0.2213194440944118,-0.9111812895846465,2.225669332958807,0.45099320308189833,2.980870889840588,14.457483780898563,0.8072478632478632,19,0.4885481958326275
03565,"['96', '101', '13', '18']",14.860258035303291,0.670478800655003,0.23652962367643654,10.65548024603311,16.25388975658628,15.247122240014553,16.063897228572756,73.96,13.600999999999999,11.24,0.8274364069702729,279.55999999999995,123.82666666666664,77.14333333333333,102.15,1.8538870545768398,3.7870869604826645,11.64,5.1824,12.985866666666666,0.2228895514501602,-0.9659995765503747,1.969056560818913,0.1316164912231727,2.9607596089522774,14.982714064096488,0.8174700854700855,17,0.47826523357450546
03566,"['96', '101', '14', '19']",15.797243487902852,0.6680678422992561,0.23090748689154086,9.818474933108721,15.676759149419206,15.156841280361594,13.957048181588384,73.68,12.321,10.28,0.8400692861181847,296.16,125.04,70.92666666666666,93.77000000000002,1.770351977867933,3.6806507324062396,12.52,5.302399999999999,14.669733333333333,0.2768897519998758,-0.9287543515853715,1.8321269521533088,0.0012944269880810725,2.942866732715778,15.677549971799802,1.129162393162393,21,0.47538452222356786
03567,"['96', '101', '15', '20']",16.807133509693916,0.7307588604146126,0.2078738258386252,8.993456290091911,15.168019306450406,15.037840161295728,12.717414535300003,73.48,11.040999999999999,9.44,0.8705773856500383,311.87999999999994,124.9733333333333,65.01666666666667,86.92,1.6771647660036135,3.3898116623557284,13.4,5.3792,15.921333333333335,0.3682447878611068,-0.736218811314224,1.795231547173541,0.13364353745551513,2.928765498845995,17.378209213311347,1.3137504273504275,22,0.4781821209976267
03568,"['96', '101', '16', '21']",17.593343600228888,0.6949486036478923,0.24204222924417526,9.15660955026916,14.86044843408771,14.763190999616368,12.070751764132904,73.0,10.041,8.8,0.8972324749971757,306.4,125.10666666666664,60.4,82.96333333333332,1.6595546302670794,3.1016806051843133,13.88,5.441600000000001,16.208933333333334,0.4177296098060835,-0.6018709121912492,1.9121029574975135,0.2805076025463776,2.9310167588183025,19.3148039205077,1.3039589743589743,22,0.48810722376038257
03569,"['96', '101', '17', '22']",17.82521734884045,0.607630931467012,0.3605503119692757,9.47498538042745,14.79876625987714,14.609572386161824,12.900750092834956,71.96,9.601,8.6,0.9140841552573394,293.7866666666667,122.88,58.32333333333333,82.59,1.6691223336473309,2.933238343053901,14.04,5.3839999999999995,15.506933333333334,0.4453710185597096,-0.43001003787607006,1.9306441691325198,0.28053259373659445,2.937306565062787,20.235759661936953,1.3979555555555556,20,0.49766936821047586
03570,"['96', '101', '18', '23']",17.309427392946137,0.6572843397992452,0.30482964660883394,9.33525566935552,14.93819517907112,13.477897576039704,13.264047494125087,70.44,10.041,9.04,0.9187360159223436,299.35999999999996,115.44,60.286666666666655,90.31666666666666,1.6083110481579987,2.8283035626530877,13.76,5.1184,14.276533333333331,0.47880167249748995,-0.2896935481410946,1.8768548878394251,0.28055422209964276,2.9304723724921073,17.810357545409992,1.4026324786324786,20,0.504414166280742
03571,"['96', '101', '19', '24']",16.08818008295553,0.7462293854857903,0.2292295475924296,9.374674100178222,15.631519446177224,11.691349785714944,16.135392185239127,68.68,11.401,10.24,0.9179795652796828,304.49333333333334,107.42666666666666,68.50999999999999,107.16999999999999,1.483592172007028,2.7102035919388485,12.68,4.768,12.495999999999999,0.4279399115711318,-0.38379903374998464,1.7236487679077,0.28050423484885806,2.9247682272933972,14.933022864698453,1.089319658119658,17,0.51081832618807
03572,"['96', '101', '20', '25']",14.499884057585568,0.7422718528469132,0.2240031472520441,9.168975787681932,16.517621060647915,11.88932000571134,16.896688194971702,67.12,13.360999999999999,11.88,0.9002983272837671,308.66666666666663,100.77333333333334,78.76,126.08333333333331,1.4212377230506754,2.8165601060289185,11.2,4.4368,10.435066666666666,0.29001907197527393,-0.6217590831180242,1.5040165625264845,0.14797193928622132,2.9300025336747053,12.865232578830565,0.7575794871794872,15,0.5107043575580346
03573,"['96', '101', '21', '26']",13.015271756178787,0.6718995817063139,0.28628158940433956,8.269382436044056,17.38246463045444,11.972549052603807,16.882694062691712,66.32,15.360999999999999,13.72,0.8953075794946297,336.2,93.58666666666667,88.54666666666667,145.29666666666665,1.2868741408210453,2.950261559403872,9.88,4.0912,8.4076,0.15278460765313567,-0.7437403038036355,1.2407162352018852,0.0010162770626767346,2.9352737085532783,11.282244366312744,0.488034188034188,13,0.502276707530648
03574,"['96', '101', '22', '27']",11.960145781565593,0.5808660191894943,0.37184460205522246,7.2682084500642565,17.853007990838368,13.894878648058606,16.043823665464583,66.32,17.000999999999998,15.24,0.8975373755957137,376.96,89.14666666666666,95.94,161.57666666666665,1.0235851079750922,3.088530569390912,9.04,3.8495999999999997,7.0652,0.09220228617600938,-0.8555141147813855,1.110405535257997,0.0009579665008873803,2.9387242537712654,10.367412926819856,0.27025641025641023,13,0.5354585705249841
03575,"['96', '101', '23', '28']",11.529753104660466,0.508359740054054,0.4168613966201103,7.0976098675625,18.126629842685887,15.9183351998016,16.18792558304129,66.84,17.840999999999998,16.08,0.9031490198317296,389.1333333333334,89.05333333333334,98.99999999999999,168.17,0.8153230389115346,3.371958892084413,8.56,3.7727999999999997,6.430266666666667,0.0718098016439568,-0.9698577772601815,1.1072306720104876,0.0009496500946999833,2.9495519253501157,10.497986854986314,0.18886153846153847,9,0.5591397849462365
